indice_tiempo,nivel_general
1968-01-01,2.90808e-10
1968-02-01,2.928586e-10
1968-03-01,2.990085e-10
1968-04-01,2.955908e-10
1968-05-01,2.936601e-10
1968-06-01,2.955028e-10
1968-07-01,2.990384e-10
1968-08-01,2.955028e-10
1968-09-01,3.001377e-10
1968-10-01,3.001077e-10
1968-11-01,2.999617e-10
1968-12-01,3.028718e-10
1969-01-01,3.05694e-10
1969-02-01,3.081303e-10
1969-03-01,3.095274e-10
1969-04-01,3.061996e-10
1969-05-01,3.081903e-10
1969-06-01,3.116959e-10
1969-07-01,3.128252e-10
1969-08-01,3.131828e-10
1969-09-01,3.150237e-10
1969-10-01,3.165687e-10
1969-11-01,3.183234e-10
1969-12-01,3.259583e-10
1970-01-01,3.2748e-10
1970-02-01,3.3255e-10
1970-03-01,3.3751e-10
1970-04-01,3.4081e-10
1970-05-01,3.4302e-10
1970-06-01,3.4607e-10
1970-07-01,3.5873e-10
1970-08-01,3.7135e-10
1970-09-01,3.8135e-10
1970-10-01,3.915e-10
1970-11-01,4.0111e-10
1970-12-01,4.1546e-10
1971-01-01,4.4122e-10
1971-02-01,4.5948e-10
1971-03-01,4.6965e-10
1971-04-01,4.7501e-10
1971-05-01,4.8939e-10
1971-06-01,5.0357e-10
1971-07-01,5.2881e-10
1971-08-01,5.4046e-10
1971-09-01,5.5615e-10
1971-10-01,5.7098e-10
1971-11-01,5.7068e-10
1971-12-01,6.1623e-10
1972-01-01,6.6827e-10
1972-02-01,6.3574e-10
1972-03-01,7.555e-10
1972-04-01,7.8949e-10
1972-05-01,8.116e-10
1972-06-01,8.5116e-10
1972-07-01,8.975e-10
1972-08-01,9.2056e-10
1972-09-01,9.5277e-10
1972-10-01,9.6949e-10
1972-11-01,1.03481e-09
1972-12-01,1.08343e-09
1973-01-01,1.10476e-09
1973-02-01,1.19835e-09
1973-03-01,1.32334e-09
1973-04-01,1.36912e-09
1973-05-01,1.46699e-09
1973-06-01,1.42233e-09
1973-07-01,1.38965e-09
1973-08-01,1.39249e-09
1973-09-01,1.39613e-09
1973-10-01,1.41577e-09
1973-11-01,1.42139e-09
1973-12-01,1.44871e-09
